temperature,humidity,motion,smoke,power_usage,incident,severity,action
30,50,0,0,200,normal,low,✅ System operating normally
30,50,0,0,200,normal,low,✅ System operating normally
30,50,0,0,200,normal,low,✅ System operating normally
30,50,0,0,200,normal,low,✅ System operating normally
30,50,0,0,200,normal,low,✅ System operating normally
30,50,0,0,200,normal,low,✅ System operating normally
30,50,0,0,200,normal,low,✅ System operating normally
30,50,0,0,200,normal,low,✅ System operating normally
30,50,0,0,200,normal,low,✅ System operating normally
30,50,0,0,200,normal,low,✅ System operating normally
30,50,0,0,200,normal,low,✅ System operating normally
30,50,0,0,200,normal,low,✅ System operating normally
30,50,0,0,200,normal,low,✅ System operating normally
30,50,0,0,200,normal,low,✅ System operating normally
30,50,0,0,200,normal,low,✅ System operating normally
30,50,0,0,200,normal,low,✅ System operating normally
30,50,0,0,200,normal,low,✅ System operating normally
30,50,0,0,200,normal,low,✅ System operating normally
30,50,0,0,200,normal,low,✅ System operating normally
30,50,0,0,200,normal,low,✅ System operating normally
30,50,0,0,200,normal,low,✅ System operating normally
30,50,0,0,200,normal,low,✅ System operating normally
30,50,0,0,200,normal,low,✅ System operating normally
30,50,0,0,200,normal,low,✅ System operating normally
30,50,0,0,200,normal,low,✅ System operating normally
30,50,0,0,200,normal,low,✅ System operating normally
30,50,0,0,200,normal,low,✅ System operating normally
30,50,0,0,200,normal,low,✅ System operating normally
30,50,0,0,200,normal,low,✅ System operating normally
30,50,0,0,200,normal,low,✅ System operating normally
30,50,0,0,200,normal,low,✅ System operating normally
30,50,0,0,200,normal,low,✅ System operating normally
30,50,0,0,200,normal,low,✅ System operating normally
30,50,0,0,200,normal,low,✅ System operating normally
30,50,0,0,200,normal,low,✅ System operating normally
30,50,0,0,200,normal,low,✅ System operating normally
30,50,0,0,200,normal,low,✅ System operating normally
30,50,0,0,200,normal,low,✅ System operating normally
30,50,0,0,200,normal,low,✅ System operating normally
30,50,0,0,200,normal,low,✅ System operating normally
30,50,0,0,200,normal,low,✅ System operating normally
30,50,0,0,200,normal,low,✅ System operating normally
30,50,0,0,200,normal,low,✅ System operating normally
30,50,0,0,200,normal,low,✅ System operating normally
30,50,0,0,200,normal,low,✅ System operating normally
30,50,0,0,200,normal,low,✅ System operating normally
30,50,0,0,200,normal,low,✅ System operating normally
30,50,0,0,200,normal,low,✅ System operating normally
30,50,0,0,200,normal,low,✅ System operating normally
30,50,0,0,200,normal,low,✅ System operating normally
30,50,0,0,200,normal,low,✅ System operating normally
30,50,0,0,200,normal,low,✅ System operating normally
30,50,0,0,200,normal,low,✅ System operating normally
30,50,0,0,200,normal,low,✅ System operating normally
30,50,0,0,200,normal,low,✅ System operating normally
30,50,0,0,200,normal,low,✅ System operating normally
30,50,0,0,200,normal,low,✅ System operating normally
30,50,0,0,200,normal,low,✅ System operating normally
30,50,0,0,200,normal,low,✅ System operating normally
65,50,0,0,200,overheating,medium,⚙️ Check cooling system
30,50,0,0,200,normal,low,✅ System operating normally
65,50,0,0,200,overheating,medium,⚙️ Check cooling system
65,65,0,0,200,overheating,medium,⚙️ Check cooling system
65,65,0,0,200,overheating,medium,⚙️ Check cooling system
65,65,0,0,200,overheating,medium,⚙️ Check cooling system
65,65,0,0,115,overheating,medium,⚙️ Check cooling system
65,65,0,0,200,overheating,medium,⚙️ Check cooling system
65,65,0,0,115,overheating,medium,⚙️ Check cooling system
65,65,0,0,115,overheating,medium,⚙️ Check cooling system
65,65,0,0,115,overheating,medium,⚙️ Check cooling system
65,65,0,0,115,overheating,medium,⚙️ Check cooling system
65,65,0,0,115,overheating,medium,⚙️ Check cooling system
65,65,0,0,115,overheating,medium,⚙️ Check cooling system
65,65,0,0,115,overheating,medium,⚙️ Check cooling system
65,65,0,0,115,overheating,medium,⚙️ Check cooling system
65,65,0,0,115,overheating,medium,⚙️ Check cooling system
65,65,0,0,115,overheating,medium,⚙️ Check cooling system
65,65,0,0,115,overheating,medium,⚙️ Check cooling system
65,65,0,0,115,overheating,medium,⚙️ Check cooling system
65,65,0,0,115,overheating,medium,⚙️ Check cooling system
65,65,0,0,115,overheating,medium,⚙️ Check cooling system
65,65,0,0,115,overheating,medium,⚙️ Check cooling system
65,65,0,0,115,overheating,medium,⚙️ Check cooling system
65,65,0,0,115,overheating,medium,⚙️ Check cooling system
